instrument_symbol,contract_code,period,primary_count
sc,SC2608,15m,3
sc,SC2608,1d,3
sc,SC2608,1m,3
sc,SC2608,30m,3
sc,SC2608,5m,3
sc,SC2608,60m,3
sc,sc.MAIN,15m,2
sc,sc.MAIN,1d,4
sc,sc.MAIN,1m,3
sc,sc.MAIN,1w,4
sc,sc.MAIN,30m,2
sc,sc.MAIN,5m,2
sc,sc.MAIN,60m,2
sf,SF2303,1d,2
sf,SF2609,15m,2
sf,SF2609,1d,2
sf,SF2609,1m,2
sf,SF2609,30m,2
sf,SF2609,5m,2
sf,SF2609,60m,2
sf,sf.MAIN,15m,2
sf,sf.MAIN,1d,4
sf,sf.MAIN,1m,2
sf,sf.MAIN,1w,4
sf,sf.MAIN,30m,2
sf,sf.MAIN,5m,2
sf,sf.MAIN,60m,2
sh,SH2609,15m,2
sh,SH2609,1d,2
sh,SH2609,1m,2
sh,SH2609,30m,2
sh,SH2609,5m,2
sh,SH2609,60m,2
sh,sh.MAIN,15m,2
sh,sh.MAIN,1d,3
sh,sh.MAIN,1m,2
sh,sh.MAIN,1w,3
sh,sh.MAIN,30m,2
sh,sh.MAIN,5m,2
sh,sh.MAIN,60m,2
si,SI2308,1d,2
si,SI2609,15m,2
si,SI2609,1d,2
si,SI2609,1m,2
si,SI2609,30m,2
si,SI2609,5m,2
si,SI2609,60m,2
si,si.MAIN,15m,2
si,si.MAIN,1d,4
si,si.MAIN,1m,2
si,si.MAIN,1w,4
si,si.MAIN,30m,2
si,si.MAIN,5m,2
si,si.MAIN,60m,2
sm,SM2305,1d,2
sm,SM2609,15m,2
sm,SM2609,1d,2
sm,SM2609,1m,2
sm,SM2609,30m,2
sm,SM2609,5m,2
sm,SM2609,60m,2
sm,sm.MAIN,15m,2
