product,contract_role,period,source_role,listing_start,provider_authoritative_start,provider_metadata_support,physical_min,target_start,target_end,boundary_status,boundary_reason
op,dominant_main,5m,derived_from_1m,2025-09-10,,absent,2025-09-10,2025-09-10,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
op,dominant_main,60m,derived_from_1m,2025-09-10,,absent,2025-09-10,2025-09-10,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
p,dominant_main,15m,derived_from_1m,2007-10-29,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
p,dominant_main,1d,derived_from_1m,2007-10-29,,absent,2007-10-29,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
p,dominant_main,1d,direct,2007-10-29,,absent,2007-10-29,2007-10-29,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
p,dominant_main,1m,direct,2007-10-29,,absent,2010-01-04,2010-01-04,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
p,dominant_main,1w,direct,2007-10-29,,absent,2007-11-02,2007-11-02,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
p,dominant_main,30m,derived_from_1m,2007-10-29,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
p,dominant_main,5m,derived_from_1m,2007-10-29,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
p,dominant_main,60m,derived_from_1m,2007-10-29,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pb,dominant_main,15m,derived_from_1m,2011-03-24,,absent,2020-01-02,2011-03-24,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pb,dominant_main,1d,derived_from_1m,2011-03-24,,absent,2011-03-24,2011-03-24,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pb,dominant_main,1d,direct,2011-03-24,,absent,2011-03-24,2011-03-24,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
pb,dominant_main,1m,direct,2011-03-24,,absent,2011-03-24,2011-03-24,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
pb,dominant_main,1w,direct,2011-03-24,,absent,2011-03-25,2011-03-25,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
pb,dominant_main,30m,derived_from_1m,2011-03-24,,absent,2020-01-02,2011-03-24,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pb,dominant_main,5m,derived_from_1m,2011-03-24,,absent,2020-01-02,2011-03-24,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pb,dominant_main,60m,derived_from_1m,2011-03-24,,absent,2020-01-02,2011-03-24,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pd,dominant_main,15m,derived_from_1m,2025-11-27,,absent,2025-11-27,2025-11-27,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pd,dominant_main,1d,derived_from_1m,2025-11-27,,absent,2025-11-27,2025-11-27,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pd,dominant_main,1d,direct,2025-11-27,,absent,2025-11-27,2025-11-27,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
pd,dominant_main,1m,direct,2025-11-27,,absent,2025-11-27,2025-11-27,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
pd,dominant_main,1w,direct,2025-11-27,,absent,2025-11-28,2025-11-28,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
pd,dominant_main,30m,derived_from_1m,2025-11-27,,absent,2025-11-27,2025-11-27,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pd,dominant_main,5m,derived_from_1m,2025-11-27,,absent,2025-11-27,2025-11-27,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pd,dominant_main,60m,derived_from_1m,2025-11-27,,absent,2025-11-27,2025-11-27,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pf,dominant_main,15m,derived_from_1m,2020-10-12,,absent,2020-10-12,2020-10-12,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pf,dominant_main,1d,derived_from_1m,2020-10-12,,absent,2020-10-12,2020-10-12,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pf,dominant_main,1d,direct,2020-10-12,,absent,2020-10-12,2020-10-12,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
pf,dominant_main,1m,direct,2020-10-12,,absent,2020-10-12,2020-10-12,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
pf,dominant_main,1w,direct,2020-10-12,,absent,2020-10-16,2020-10-16,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
pf,dominant_main,30m,derived_from_1m,2020-10-12,,absent,2020-10-12,2020-10-12,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pf,dominant_main,5m,derived_from_1m,2020-10-12,,absent,2020-10-12,2020-10-12,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pf,dominant_main,60m,derived_from_1m,2020-10-12,,absent,2020-10-12,2020-10-12,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pg,dominant_main,15m,derived_from_1m,2020-03-30,,absent,2020-03-30,2020-03-30,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pg,dominant_main,1d,derived_from_1m,2020-03-30,,absent,2020-03-30,2020-03-30,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pg,dominant_main,1d,direct,2020-03-30,,absent,2020-03-30,2020-03-30,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
pg,dominant_main,1m,direct,2020-03-30,,absent,2020-03-30,2020-03-30,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
pg,dominant_main,1w,direct,2020-03-30,,absent,2020-04-03,2020-04-03,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
pg,dominant_main,30m,derived_from_1m,2020-03-30,,absent,2020-03-30,2020-03-30,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pg,dominant_main,5m,derived_from_1m,2020-03-30,,absent,2020-03-30,2020-03-30,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pg,dominant_main,60m,derived_from_1m,2020-03-30,,absent,2020-03-30,2020-03-30,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pk,dominant_main,15m,derived_from_1m,2021-02-01,,absent,2021-02-01,2021-02-01,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pk,dominant_main,1d,derived_from_1m,2021-02-01,,absent,2021-02-01,2021-02-01,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pk,dominant_main,1d,direct,2021-02-01,,absent,2021-02-01,2021-02-01,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
pk,dominant_main,1m,direct,2021-02-01,,absent,2021-02-01,2021-02-01,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
pk,dominant_main,1w,direct,2021-02-01,,absent,2021-02-05,2021-02-05,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
pk,dominant_main,30m,derived_from_1m,2021-02-01,,absent,2021-02-01,2021-02-01,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pk,dominant_main,5m,derived_from_1m,2021-02-01,,absent,2021-02-01,2021-02-01,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pk,dominant_main,60m,derived_from_1m,2021-02-01,,absent,2021-02-01,2021-02-01,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pl,dominant_main,15m,derived_from_1m,2025-07-22,,absent,2025-07-22,2025-07-22,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pl,dominant_main,1d,derived_from_1m,2025-07-22,,absent,2025-07-22,2025-07-22,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pl,dominant_main,1d,direct,2025-07-22,,absent,2025-07-22,2025-07-22,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
pl,dominant_main,1m,direct,2025-07-22,,absent,2025-07-22,2025-07-22,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
pl,dominant_main,1w,direct,2025-07-22,,absent,2025-07-25,2025-07-25,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
pl,dominant_main,30m,derived_from_1m,2025-07-22,,absent,2025-07-22,2025-07-22,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pl,dominant_main,5m,derived_from_1m,2025-07-22,,absent,2025-07-22,2025-07-22,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pl,dominant_main,60m,derived_from_1m,2025-07-22,,absent,2025-07-22,2025-07-22,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pm,dominant_main,15m,derived_from_1m,2012-01-17,,absent,2020-01-02,2012-01-17,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pm,dominant_main,1d,derived_from_1m,2012-01-17,,absent,2012-01-17,2012-01-17,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pm,dominant_main,1d,direct,2012-01-17,,absent,2012-01-17,2012-01-17,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
pm,dominant_main,1m,direct,2012-01-17,,absent,2012-01-17,2012-01-17,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
pm,dominant_main,1w,direct,2012-01-17,,absent,2012-01-20,2012-01-20,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
pm,dominant_main,30m,derived_from_1m,2012-01-17,,absent,2020-01-02,2012-01-17,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pm,dominant_main,5m,derived_from_1m,2012-01-17,,absent,2020-01-02,2012-01-17,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pm,dominant_main,60m,derived_from_1m,2012-01-17,,absent,2020-01-02,2012-01-17,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pp,dominant_main,15m,derived_from_1m,2014-02-28,,absent,2020-01-02,2014-02-28,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pp,dominant_main,1d,derived_from_1m,2014-02-28,,absent,2014-02-28,2014-02-28,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pp,dominant_main,1d,direct,2014-02-28,,absent,2014-02-28,2014-02-28,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
pp,dominant_main,1m,direct,2014-02-28,,absent,2014-02-28,2014-02-28,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
pp,dominant_main,1w,direct,2014-02-28,,absent,2014-02-28,2014-02-28,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
pp,dominant_main,30m,derived_from_1m,2014-02-28,,absent,2020-01-02,2014-02-28,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pp,dominant_main,5m,derived_from_1m,2014-02-28,,absent,2020-01-02,2014-02-28,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pp,dominant_main,60m,derived_from_1m,2014-02-28,,absent,2020-01-02,2014-02-28,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pp_f,dominant_main,15m,derived_from_1m,2025-10-29,,absent,2025-10-29,2025-10-29,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pp_f,dominant_main,1d,derived_from_1m,2025-10-29,,absent,2025-10-29,2025-10-29,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pp_f,dominant_main,1d,direct,2025-10-29,,absent,2025-10-29,2025-10-29,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
pp_f,dominant_main,1m,direct,2025-10-29,,absent,2025-10-29,2025-10-29,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
pp_f,dominant_main,1w,direct,2025-10-29,,absent,2025-10-31,2025-10-31,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
pp_f,dominant_main,30m,derived_from_1m,2025-10-29,,absent,2025-10-29,2025-10-29,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pp_f,dominant_main,5m,derived_from_1m,2025-10-29,,absent,2025-10-29,2025-10-29,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pp_f,dominant_main,60m,derived_from_1m,2025-10-29,,absent,2025-10-29,2025-10-29,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pr,dominant_main,15m,derived_from_1m,2024-08-30,,absent,2024-08-30,2024-08-30,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pr,dominant_main,1d,derived_from_1m,2024-08-30,,absent,2024-08-30,2024-08-30,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pr,dominant_main,1d,direct,2024-08-30,,absent,2024-08-30,2024-08-30,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
pr,dominant_main,1m,direct,2024-08-30,,absent,2024-08-30,2024-08-30,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
pr,dominant_main,1w,direct,2024-08-30,,absent,2024-08-30,2024-08-30,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
pr,dominant_main,30m,derived_from_1m,2024-08-30,,absent,2024-08-30,2024-08-30,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pr,dominant_main,5m,derived_from_1m,2024-08-30,,absent,2024-08-30,2024-08-30,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pr,dominant_main,60m,derived_from_1m,2024-08-30,,absent,2024-08-30,2024-08-30,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
ps,dominant_main,15m,derived_from_1m,2024-12-26,,absent,2024-12-26,2024-12-26,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
ps,dominant_main,1d,derived_from_1m,2024-12-26,,absent,2024-12-26,2024-12-26,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
ps,dominant_main,1d,direct,2024-12-26,,absent,2024-12-26,2024-12-26,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
ps,dominant_main,1m,direct,2024-12-26,,absent,2024-12-26,2024-12-26,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
ps,dominant_main,1w,direct,2024-12-26,,absent,2024-12-27,2024-12-27,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
ps,dominant_main,30m,derived_from_1m,2024-12-26,,absent,2024-12-26,2024-12-26,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
ps,dominant_main,5m,derived_from_1m,2024-12-26,,absent,2024-12-26,2024-12-26,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
ps,dominant_main,60m,derived_from_1m,2024-12-26,,absent,2024-12-26,2024-12-26,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pt,dominant_main,15m,derived_from_1m,2025-11-27,,absent,2025-11-27,2025-11-27,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pt,dominant_main,1d,derived_from_1m,2025-11-27,,absent,2025-11-27,2025-11-27,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pt,dominant_main,1d,direct,2025-11-27,,absent,2025-11-27,2025-11-27,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
pt,dominant_main,1m,direct,2025-11-27,,absent,2025-11-27,2025-11-27,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
