profile_id,product,period,quality_policy,active_binding_count,profile_eligibility,reason
intraday_research_v1,bb,60m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,bb,1d,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,bc,1m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,bc,5m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,bc,15m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,bc,30m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,bc,60m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,bc,1d,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,br,1m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,br,5m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,br,15m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,br,30m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,br,60m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,br,1d,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,bu,1m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,bu,5m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,bu,15m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,bu,30m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,bu,60m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,bu,1d,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,bz,1m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,bz,5m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,bz,15m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,bz,30m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,bz,60m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,bz,1d,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,c,1m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,c,5m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,c,15m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,c,30m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,c,60m,passed_only,535,blocked,one_or_more_required_layers_not_passed
