product,metadata_type,applicability,status,reason,evidence_start,evidence_end
lu,asset_registration,applicable,passed,registered_contract_listing,2020-06-22,2026-07-10
lu,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-06-22,2026-07-07
lu,contract_universe,applicable,unverified,blocked_by_trading_calendar,2020-06-22,2026-07-10
lu,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2020-06-22,2026-07-07
lu,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
lu,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2020-06-22,2026-07-10
lu,trading_session,applicable,unverified,historical_scope_unverified,,
m,asset_registration,applicable,passed,registered_contract_listing,2000-07-17,2026-07-10
m,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
m,contract_universe,applicable,unverified,blocked_by_trading_calendar,2010-01-04,2026-07-10
m,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2005-01-04,2026-07-07
m,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
m,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2008-01-16,2026-07-10
m,trading_session,applicable,unverified,historical_scope_unverified,,
ma,asset_registration,applicable,passed,registered_contract_listing,2014-06-17,2026-07-10
ma,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
ma,contract_universe,applicable,unverified,blocked_by_trading_calendar,2014-06-17,2026-07-10
ma,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2014-06-17,2026-06-24
ma,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
ma,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2014-06-17,2026-07-10
ma,trading_session,applicable,unverified,historical_scope_unverified,,
ni,asset_registration,applicable,passed,registered_contract_listing,2015-03-27,2026-07-10
ni,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
ni,contract_universe,applicable,unverified,blocked_by_trading_calendar,2015-03-27,2026-07-10
ni,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2015-03-27,2026-07-07
ni,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
ni,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2015-03-27,2026-07-10
ni,trading_session,applicable,unverified,historical_scope_unverified,,
nr,asset_registration,applicable,passed,registered_contract_listing,2019-08-12,2026-07-10
nr,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
nr,contract_universe,applicable,unverified,blocked_by_trading_calendar,2019-08-12,2026-07-10
nr,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2019-08-12,2026-07-07
nr,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
nr,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2019-08-12,2026-07-10
nr,trading_session,applicable,unverified,historical_scope_unverified,,
oi,asset_registration,applicable,passed,registered_contract_listing,2012-07-16,2026-07-10
oi,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
oi,contract_universe,applicable,unverified,blocked_by_trading_calendar,2012-07-16,2026-07-10
oi,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2012-07-16,2026-06-24
oi,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
oi,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2012-07-16,2026-07-10
oi,trading_session,applicable,unverified,historical_scope_unverified,,
op,asset_registration,applicable,passed,registered_contract_listing,2025-09-10,2026-07-10
op,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2025-09-10,2026-07-07
op,contract_universe,applicable,unverified,blocked_by_trading_calendar,2025-09-10,2026-07-10
op,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2025-09-10,2026-07-07
op,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
op,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2025-09-10,2026-07-10
op,trading_session,applicable,unverified,historical_scope_unverified,,
p,asset_registration,applicable,passed,registered_contract_listing,2007-10-29,2026-07-10
p,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
p,contract_universe,applicable,unverified,blocked_by_trading_calendar,2010-01-04,2026-07-10
p,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2007-10-29,2026-07-07
p,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
p,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2008-01-16,2026-07-10
p,trading_session,applicable,unverified,historical_scope_unverified,,
pb,asset_registration,applicable,passed,registered_contract_listing,2011-03-24,2026-07-10
pb,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
pb,contract_universe,applicable,unverified,blocked_by_trading_calendar,2011-03-24,2026-07-10
pb,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2011-03-24,2026-07-07
pb,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
pb,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2012-10-16,2026-07-10
pb,trading_session,applicable,unverified,historical_scope_unverified,,
pd,asset_registration,applicable,passed,registered_contract_listing,2025-11-27,2026-07-10
