profile_id,instrument_symbol,contract_code,period,contract_role,target_start,target_end,target_ranges,lineage_required,evidence_source
intraday_research_v1,cs,cs.MAIN,1d,dominant_main,2014-12-19,2026-07-10,"[[""2014-12-19"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,cs,cs.MAIN,1m,dominant_main,2014-12-19,2026-07-10,"[[""2014-12-19"",""2026-07-10""]]",False,audit_v2_expected_windows
intraday_research_v1,cs,cs.MAIN,30m,dominant_main,2014-12-19,2026-07-10,"[[""2014-12-19"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,cs,cs.MAIN,5m,dominant_main,2014-12-19,2026-07-10,"[[""2014-12-19"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,cs,cs.MAIN,60m,dominant_main,2014-12-19,2026-07-10,"[[""2014-12-19"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,cu,cu.MAIN,15m,dominant_main,2010-01-04,2026-07-10,"[[""2010-01-04"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,cu,cu.MAIN,1d,dominant_main,2010-01-04,2026-07-10,"[[""2010-01-04"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,cu,cu.MAIN,1m,dominant_main,2010-01-04,2026-07-10,"[[""2010-01-04"",""2026-07-10""]]",False,audit_v2_expected_windows
intraday_research_v1,cu,cu.MAIN,30m,dominant_main,2010-01-04,2026-07-10,"[[""2010-01-04"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,cu,cu.MAIN,5m,dominant_main,2010-01-04,2026-07-10,"[[""2010-01-04"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,cu,cu.MAIN,60m,dominant_main,2010-01-04,2026-07-10,"[[""2010-01-04"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,cy,cy.MAIN,15m,dominant_main,2017-08-18,2026-07-10,"[[""2017-08-18"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,cy,cy.MAIN,1d,dominant_main,2017-08-18,2026-07-10,"[[""2017-08-18"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,cy,cy.MAIN,1m,dominant_main,2017-08-18,2026-07-10,"[[""2017-08-18"",""2026-07-10""]]",False,audit_v2_expected_windows
intraday_research_v1,cy,cy.MAIN,30m,dominant_main,2017-08-18,2026-07-10,"[[""2017-08-18"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,cy,cy.MAIN,5m,dominant_main,2017-08-18,2026-07-10,"[[""2017-08-18"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,cy,cy.MAIN,60m,dominant_main,2017-08-18,2026-07-10,"[[""2017-08-18"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,eb,eb.MAIN,15m,dominant_main,2019-09-26,2026-07-10,"[[""2019-09-26"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,eb,eb.MAIN,1d,dominant_main,2019-09-26,2026-07-10,"[[""2019-09-26"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,eb,eb.MAIN,1m,dominant_main,2019-09-26,2026-07-10,"[[""2019-09-26"",""2026-07-10""]]",False,audit_v2_expected_windows
intraday_research_v1,eb,eb.MAIN,30m,dominant_main,2019-09-26,2026-07-10,"[[""2019-09-26"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,eb,eb.MAIN,5m,dominant_main,2019-09-26,2026-07-10,"[[""2019-09-26"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,eb,eb.MAIN,60m,dominant_main,2019-09-26,2026-07-10,"[[""2019-09-26"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,ec,ec.MAIN,15m,dominant_main,2023-08-18,2026-07-10,"[[""2023-08-18"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,ec,ec.MAIN,1d,dominant_main,2023-08-18,2026-07-10,"[[""2023-08-18"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,ec,ec.MAIN,1m,dominant_main,2023-08-18,2026-07-10,"[[""2023-08-18"",""2026-07-10""]]",False,audit_v2_expected_windows
intraday_research_v1,ec,ec.MAIN,30m,dominant_main,2023-08-18,2026-07-10,"[[""2023-08-18"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,ec,ec.MAIN,5m,dominant_main,2023-08-18,2026-07-10,"[[""2023-08-18"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,ec,ec.MAIN,60m,dominant_main,2023-08-18,2026-07-10,"[[""2023-08-18"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,eg,eg.MAIN,15m,dominant_main,2018-12-10,2026-07-10,"[[""2018-12-10"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,eg,eg.MAIN,1d,dominant_main,2018-12-10,2026-07-10,"[[""2018-12-10"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,eg,eg.MAIN,1m,dominant_main,2018-12-10,2026-07-10,"[[""2018-12-10"",""2026-07-10""]]",False,audit_v2_expected_windows
intraday_research_v1,eg,eg.MAIN,30m,dominant_main,2018-12-10,2026-07-10,"[[""2018-12-10"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,eg,eg.MAIN,5m,dominant_main,2018-12-10,2026-07-10,"[[""2018-12-10"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,eg,eg.MAIN,60m,dominant_main,2018-12-10,2026-07-10,"[[""2018-12-10"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,fb,fb.MAIN,15m,dominant_main,2013-12-06,2026-07-10,"[[""2013-12-06"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,fb,fb.MAIN,1d,dominant_main,2013-12-06,2026-07-10,"[[""2013-12-06"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,fb,fb.MAIN,1m,dominant_main,2013-12-06,2026-07-10,"[[""2013-12-06"",""2026-07-10""]]",False,audit_v2_expected_windows
intraday_research_v1,fb,fb.MAIN,30m,dominant_main,2013-12-06,2026-07-10,"[[""2013-12-06"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,fb,fb.MAIN,5m,dominant_main,2013-12-06,2026-07-10,"[[""2013-12-06"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,fb,fb.MAIN,60m,dominant_main,2013-12-06,2026-07-10,"[[""2013-12-06"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,fg,fg.MAIN,15m,dominant_main,2012-12-03,2026-07-10,"[[""2012-12-03"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,fg,fg.MAIN,1d,dominant_main,2012-12-03,2026-07-10,"[[""2012-12-03"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,fg,fg.MAIN,1m,dominant_main,2012-12-03,2026-07-10,"[[""2012-12-03"",""2026-07-10""]]",False,audit_v2_expected_windows
intraday_research_v1,fg,fg.MAIN,30m,dominant_main,2012-12-03,2026-07-10,"[[""2012-12-03"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,fg,fg.MAIN,5m,dominant_main,2012-12-03,2026-07-10,"[[""2012-12-03"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,fg,fg.MAIN,60m,dominant_main,2012-12-03,2026-07-10,"[[""2012-12-03"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,fu,fu.MAIN,15m,dominant_main,2010-01-04,2026-07-10,"[[""2010-01-04"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,fu,fu.MAIN,1d,dominant_main,2010-01-04,2026-07-10,"[[""2010-01-04"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,fu,fu.MAIN,1m,dominant_main,2010-01-04,2026-07-10,"[[""2010-01-04"",""2026-07-10""]]",False,audit_v2_expected_windows
intraday_research_v1,fu,fu.MAIN,30m,dominant_main,2010-01-04,2026-07-10,"[[""2010-01-04"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,fu,fu.MAIN,5m,dominant_main,2010-01-04,2026-07-10,"[[""2010-01-04"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,fu,fu.MAIN,60m,dominant_main,2010-01-04,2026-07-10,"[[""2010-01-04"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,hc,hc.MAIN,15m,dominant_main,2014-03-21,2026-07-10,"[[""2014-03-21"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,hc,hc.MAIN,1d,dominant_main,2014-03-21,2026-07-10,"[[""2014-03-21"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,hc,hc.MAIN,1m,dominant_main,2014-03-21,2026-07-10,"[[""2014-03-21"",""2026-07-10""]]",False,audit_v2_expected_windows
intraday_research_v1,hc,hc.MAIN,30m,dominant_main,2014-03-21,2026-07-10,"[[""2014-03-21"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,hc,hc.MAIN,5m,dominant_main,2014-03-21,2026-07-10,"[[""2014-03-21"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,hc,hc.MAIN,60m,dominant_main,2014-03-21,2026-07-10,"[[""2014-03-21"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,i,i.MAIN,15m,dominant_main,2013-10-18,2026-07-10,"[[""2013-10-18"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,i,i.MAIN,1d,dominant_main,2013-10-18,2026-07-10,"[[""2013-10-18"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,i,i.MAIN,1m,dominant_main,2013-10-18,2026-07-10,"[[""2013-10-18"",""2026-07-10""]]",False,audit_v2_expected_windows
intraday_research_v1,i,i.MAIN,30m,dominant_main,2013-10-18,2026-07-10,"[[""2013-10-18"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,i,i.MAIN,5m,dominant_main,2013-10-18,2026-07-10,"[[""2013-10-18"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,i,i.MAIN,60m,dominant_main,2013-10-18,2026-07-10,"[[""2013-10-18"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,ic,ic.MAIN,15m,dominant_main,2015-04-16,2026-07-10,"[[""2015-04-16"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,ic,ic.MAIN,1d,dominant_main,2015-04-16,2026-07-10,"[[""2015-04-16"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,ic,ic.MAIN,1m,dominant_main,2015-04-16,2026-07-10,"[[""2015-04-16"",""2026-07-10""]]",False,audit_v2_expected_windows
intraday_research_v1,ic,ic.MAIN,30m,dominant_main,2015-04-16,2026-07-10,"[[""2015-04-16"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,ic,ic.MAIN,5m,dominant_main,2015-04-16,2026-07-10,"[[""2015-04-16"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,ic,ic.MAIN,60m,dominant_main,2015-04-16,2026-07-10,"[[""2015-04-16"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,if,if.MAIN,15m,dominant_main,2010-04-16,2026-07-10,"[[""2010-04-16"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,if,if.MAIN,1d,dominant_main,2010-04-16,2026-07-10,"[[""2010-04-16"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,if,if.MAIN,1m,dominant_main,2010-04-16,2026-07-10,"[[""2010-04-16"",""2026-07-10""]]",False,audit_v2_expected_windows
intraday_research_v1,if,if.MAIN,30m,dominant_main,2010-04-16,2026-07-10,"[[""2010-04-16"",""2026-07-10""]]",True,audit_v2_expected_windows
