batch_id,profile_id,instrument_symbol,contract_code,period,binding_id,previous_binding_id,previous_market_data_file_id,next_market_data_file_id,previous_data_version,next_data_version,applied_at,operator,committed,candidate_sha256,expected_before_sha256,candidate_count
profile-rollout-intraday-008b-003,intraday_research_v1,op,op.MAIN,1m,4620,538,56022,71669,rqdata_op_standard_1m_20230103_20260711_v2,rqdata_op_standard_1m_20230103_20260712_v2,2026-07-18T03:43:14.129314+00:00,profile_binding_rollout,True,c6b71c1d830daebd2ac5809eab02d9c050445341c9b107d427620dd6e68f7ebe,519d74408b7aa09f7f92ef1d1a154de1db2b00a8978753d102256b439a31e8ab,85
profile-rollout-intraday-008b-003,intraday_research_v1,p,p.MAIN,1m,4621,544,56023,82775,rqdata_p_standard_1m_20230103_20260711_v2,rqdata_p_standard_1m_20071029_20260711_v2,2026-07-18T03:43:14.150343+00:00,profile_binding_rollout,True,c6b71c1d830daebd2ac5809eab02d9c050445341c9b107d427620dd6e68f7ebe,519d74408b7aa09f7f92ef1d1a154de1db2b00a8978753d102256b439a31e8ab,85
profile-rollout-intraday-008b-003,intraday_research_v1,pb,pb.MAIN,1m,4622,550,56024,82781,rqdata_pb_standard_1m_20230103_20260711_v2,rqdata_pb_standard_1m_20110324_20260711_v2,2026-07-18T03:43:14.172119+00:00,profile_binding_rollout,True,c6b71c1d830daebd2ac5809eab02d9c050445341c9b107d427620dd6e68f7ebe,519d74408b7aa09f7f92ef1d1a154de1db2b00a8978753d102256b439a31e8ab,85
profile-rollout-intraday-008b-003,intraday_research_v1,pd,pd.MAIN,1m,4623,556,56025,71672,rqdata_pd_standard_1m_20230103_20260711_v2,rqdata_pd_standard_1m_20230103_20260712_v2,2026-07-18T03:43:14.176789+00:00,profile_binding_rollout,True,c6b71c1d830daebd2ac5809eab02d9c050445341c9b107d427620dd6e68f7ebe,519d74408b7aa09f7f92ef1d1a154de1db2b00a8978753d102256b439a31e8ab,85
profile-rollout-intraday-008b-003,intraday_research_v1,pf,pf.MAIN,1m,4624,562,56026,71529,rqdata_pf_standard_1m_20230103_20260711_v2,rqdata_pf_standard_1m_20201012_20260711_v2,2026-07-18T03:43:14.186552+00:00,profile_binding_rollout,True,c6b71c1d830daebd2ac5809eab02d9c050445341c9b107d427620dd6e68f7ebe,519d74408b7aa09f7f92ef1d1a154de1db2b00a8978753d102256b439a31e8ab,85
profile-rollout-intraday-008b-003,intraday_research_v1,pg,pg.MAIN,1m,4625,568,56027,71334,rqdata_pg_standard_1m_20230103_20260711_v2,rqdata_pg_standard_1m_20200330_20260711_v2,2026-07-18T03:43:14.196768+00:00,profile_binding_rollout,True,c6b71c1d830daebd2ac5809eab02d9c050445341c9b107d427620dd6e68f7ebe,519d74408b7aa09f7f92ef1d1a154de1db2b00a8978753d102256b439a31e8ab,85
profile-rollout-intraday-008b-003,intraday_research_v1,pk,pk.MAIN,1m,4626,574,56028,71547,rqdata_pk_standard_1m_20230103_20260711_v2,rqdata_pk_standard_1m_20210201_20260711_v2,2026-07-18T03:43:14.205678+00:00,profile_binding_rollout,True,c6b71c1d830daebd2ac5809eab02d9c050445341c9b107d427620dd6e68f7ebe,519d74408b7aa09f7f92ef1d1a154de1db2b00a8978753d102256b439a31e8ab,85
profile-rollout-intraday-008b-003,intraday_research_v1,pl,pl.MAIN,1m,4627,580,56029,71675,rqdata_pl_standard_1m_20230103_20260711_v2,rqdata_pl_standard_1m_20230103_20260712_v2,2026-07-18T03:43:14.210623+00:00,profile_binding_rollout,True,c6b71c1d830daebd2ac5809eab02d9c050445341c9b107d427620dd6e68f7ebe,519d74408b7aa09f7f92ef1d1a154de1db2b00a8978753d102256b439a31e8ab,85
profile-rollout-intraday-008b-003,intraday_research_v1,pm,pm.MAIN,1m,4628,586,56030,82783,rqdata_pm_standard_1m_20230103_20260711_v2,rqdata_pm_standard_1m_20120117_20260711_v2,2026-07-18T03:43:14.217359+00:00,profile_binding_rollout,True,c6b71c1d830daebd2ac5809eab02d9c050445341c9b107d427620dd6e68f7ebe,519d74408b7aa09f7f92ef1d1a154de1db2b00a8978753d102256b439a31e8ab,85
profile-rollout-intraday-008b-003,intraday_research_v1,pp,pp.MAIN,1m,4629,592,56031,82756,rqdata_pp_standard_1m_20230103_20260711_v2,rqdata_pp_standard_1m_20140228_20260711_v2,2026-07-18T03:43:14.234011+00:00,profile_binding_rollout,True,c6b71c1d830daebd2ac5809eab02d9c050445341c9b107d427620dd6e68f7ebe,519d74408b7aa09f7f92ef1d1a154de1db2b00a8978753d102256b439a31e8ab,85
