product,actual_contracts,active_actual_periods,stage9_status,blocked_reasons
oi,"OI2005,OI2009,OI2101,OI2105,OI2109,OI2201,OI2205,OI2209,OI2301,OI2305,OI2609",1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
op,OP2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
p,"P2005,P2009,P2101,P2105,P2109,P2201,P2205,P2209,P2301,P2305,P2609",1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
pb,"PB2002,PB2003,PB2004,PB2005,PB2006,PB2007,PB2008,PB2009,PB2010,PB2011,PB2012,PB2101,PB2102,PB2103,PB2104,PB2105,PB2106,PB2107,PB2108,PB2109,PB2110,PB2111,PB2112,PB2201,PB2202,PB2203,PB2204,PB2205,PB2206,PB2207,PB2208,PB2209,PB2210,PB2211,PB2212,PB2301,PB2302,PB2608",1d,stage9_blocked,"missing_entry_periods:5m,15m;missing_trading_parameters:PB2301:price_tick;signal_event_gate_required_for_bar_end_and_trigger_price"
pd,PD2608,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
pf,"PF2105,PF2107,PF2109,PF2201,PF2205,PF2206,PF2207,PF2208,PF2209,PF2210,PF2211,PF2212,PF2302,PF2609",1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
pg,"PG2011,PG2012,PG2101,PG2102,PG2103,PG2104,PG2105,PG2106,PG2107,PG2108,PG2109,PG2110,PG2111,PG2112,PG2201,PG2202,PG2203,PG2204,PG2205,PG2206,PG2207,PG2208,PG2209,PG2210,PG2211,PG2212,PG2301,PG2302,PG2608",1d,stage9_blocked,"missing_entry_periods:5m,15m;missing_trading_parameters:PG2301:price_tick;signal_event_gate_required_for_bar_end_and_trigger_price"
pk,"PK2110,PK2201,PK2204,PK2210,PK2301,PK2304,PK2610",1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
pl,PL2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
pm,"PM2007,PM2105,PM2107,PM2109,PM2203,PM2209,PM2211,PM2301,PM2607",1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
pp,"PP2005,PP2009,PP2101,PP2105,PP2109,PP2201,PP2205,PP2209,PP2301,PP2305,PP2609",1d,stage9_blocked,"missing_entry_periods:5m,15m;missing_trading_parameters:PP2301:price_tick;signal_event_gate_required_for_bar_end_and_trigger_price"
pp_f,PP2609F,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
pr,PR2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
ps,PS2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
pt,PT2608,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
px,PX2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
