profile,product,contract,period,binding_status,final_classification,classification_source,binding_id,contract_role,data_version,market_data_file_id,quality_policy
intraday_research_v1,cu,cu.MAIN,15m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,362.0,dominant_main,rqdata_cu_standard_15m_20230103_20260711_v2,56139.0,passed_only
intraday_research_v1,cu,cu.MAIN,1d,active_valid,covered_passed,profile_binding:active_valid,363.0,dominant_main,rqdata_cu_standard_1d_20200102_20260711_v2,56452.0,passed_only
intraday_research_v1,cu,cu.MAIN,1m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,364.0,dominant_main,rqdata_cu_standard_1m_20230103_20260711_v2,55993.0,passed_only
intraday_research_v1,cu,cu.MAIN,30m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,365.0,dominant_main,rqdata_cu_standard_30m_20230103_20260711_v2,56140.0,passed_only
intraday_research_v1,cu,cu.MAIN,5m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,366.0,dominant_main,rqdata_cu_standard_5m_20230103_20260711_v2,56138.0,passed_only
intraday_research_v1,cu,cu.MAIN,60m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,367.0,dominant_main,rqdata_cu_standard_60m_20230103_20260711_v2,56141.0,passed_only
intraday_research_v1,cy,cy.MAIN,15m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,368.0,dominant_main,rqdata_cy_standard_15m_20230103_20260711_v2,56143.0,passed_only
intraday_research_v1,cy,cy.MAIN,1d,active_valid,covered_passed,profile_binding:active_valid,369.0,dominant_main,rqdata_cy_standard_1d_20200102_20260711_v2,56454.0,passed_only
intraday_research_v1,cy,cy.MAIN,1m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,370.0,dominant_main,rqdata_cy_standard_1m_20230103_20260711_v2,55994.0,passed_only
intraday_research_v1,cy,cy.MAIN,30m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,371.0,dominant_main,rqdata_cy_standard_30m_20230103_20260711_v2,56144.0,passed_only
intraday_research_v1,cy,cy.MAIN,5m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,372.0,dominant_main,rqdata_cy_standard_5m_20230103_20260711_v2,56142.0,passed_only
intraday_research_v1,cy,cy.MAIN,60m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,373.0,dominant_main,rqdata_cy_standard_60m_20230103_20260711_v2,56145.0,passed_only
