product,interface_name,dataset_name,start_date,end_date,expected_end,raw_files_count,raw_rows,indexed_files,indexed_rows,db_rows,status
pb,get_dominant_price_1d,dominant_daily_baseline,2011-03-24,2026-06-24,2026-06-24,96,228151,1,3704,,ok
pb,get_dominant_price_samples,market_sample,2011-03-24,2026-06-24,2026-06-24,0,0,5,2017348,,ok
ni,get_dominant_rank1,main_contract_map,2015-03-27,2026-07-07,2026-06-24,0,0,0,0,2733,ok
ni,get_dominant_rank2,main_contract_map,2015-03-27,2026-06-24,2026-06-24,0,0,0,0,2732,ok
ni,get_ex_factor,futures_ex_factors,2015-03-27,2026-06-22,2026-06-24,0,0,0,0,93,ok
ni,get_warehouse_stocks,futures_warehouse_stocks,2015-04-13,2026-06-24,2026-06-24,0,0,0,0,2722,ok
ni,get_contracts,contract_universe,2024-01-02,2026-07-07,2026-06-24,270,485329,4,8616,7272,ok
ni,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
ni,get_dominant_price_1d,dominant_daily_baseline,2015-03-27,2026-06-24,2026-06-24,96,228151,1,2732,,ok
ni,get_dominant_price_samples,market_sample,2015-03-27,2026-06-24,2026-06-24,0,0,5,1633524,,ok
sn,get_dominant_rank1,main_contract_map,2015-03-27,2026-07-07,2026-06-24,0,0,0,0,2733,ok
sn,get_dominant_rank2,main_contract_map,2015-03-27,2026-06-24,2026-06-24,0,0,0,0,2732,ok
sn,get_ex_factor,futures_ex_factors,2015-03-27,2026-06-24,2026-06-24,0,0,0,0,90,ok
sn,get_warehouse_stocks,futures_warehouse_stocks,2015-04-13,2026-06-24,2026-06-24,0,0,0,0,2722,ok
sn,get_contracts,contract_universe,2024-01-02,2026-07-07,2026-06-24,270,485329,4,8616,7272,ok
sn,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
sn,get_dominant_price_1d,dominant_daily_baseline,2015-03-27,2026-06-24,2026-06-24,96,228151,1,2732,,ok
sn,get_dominant_price_samples,market_sample,2015-03-27,2026-06-24,2026-06-24,0,0,5,1633524,,ok
au,get_dominant_rank1,main_contract_map,2008-01-09,2026-07-07,2026-06-24,0,0,0,0,4484,ok
