profile_id,instrument_symbol,contract_code,period,group_key,block_reason,market_data_file_id,evidence_source
intraday_research_v1,ih,ih.MAIN,5m,ih|ih.MAIN|5m,frozen_baseline_reference,41056,rulebook
intraday_research_v1,ih,ih.MAIN,60m,ih|ih.MAIN|60m,frozen_baseline_reference,41059,rulebook
intraday_research_v1,im,im.MAIN,15m,im|im.MAIN|15m,frozen_baseline_reference,41063,rulebook
intraday_research_v1,im,im.MAIN,1d,im|im.MAIN|1d,frozen_baseline_reference,41066,rulebook
intraday_research_v1,im,im.MAIN,1m,im|im.MAIN|1m,frozen_baseline_reference,41061,rulebook
intraday_research_v1,im,im.MAIN,30m,im|im.MAIN|30m,frozen_baseline_reference,41064,rulebook
intraday_research_v1,im,im.MAIN,5m,im|im.MAIN|5m,frozen_baseline_reference,41062,rulebook
intraday_research_v1,im,im.MAIN,60m,im|im.MAIN|60m,frozen_baseline_reference,41065,rulebook
intraday_research_v1,j,j.MAIN,15m,j|j.MAIN|15m,frozen_baseline_reference,41069,rulebook
intraday_research_v1,j,j.MAIN,1d,j|j.MAIN|1d,frozen_baseline_reference,41072,rulebook
intraday_research_v1,j,j.MAIN,1m,j|j.MAIN|1m,frozen_baseline_reference,41067,rulebook
intraday_research_v1,j,j.MAIN,30m,j|j.MAIN|30m,frozen_baseline_reference,41070,rulebook
intraday_research_v1,j,j.MAIN,5m,j|j.MAIN|5m,frozen_baseline_reference,41068,rulebook
intraday_research_v1,j,j.MAIN,60m,j|j.MAIN|60m,frozen_baseline_reference,41071,rulebook
intraday_research_v1,jd,jd.MAIN,15m,jd|jd.MAIN|15m,frozen_baseline_reference,41075,rulebook
intraday_research_v1,jd,jd.MAIN,1d,jd|jd.MAIN|1d,frozen_baseline_reference,41078,rulebook
intraday_research_v1,jd,jd.MAIN,1m,jd|jd.MAIN|1m,frozen_baseline_reference,41073,rulebook
intraday_research_v1,jd,jd.MAIN,30m,jd|jd.MAIN|30m,frozen_baseline_reference,41076,rulebook
intraday_research_v1,jd,jd.MAIN,5m,jd|jd.MAIN|5m,frozen_baseline_reference,41074,rulebook
intraday_research_v1,jd,jd.MAIN,60m,jd|jd.MAIN|60m,frozen_baseline_reference,41077,rulebook
intraday_research_v1,jm,jm.MAIN,15m,jm|jm.MAIN|15m,frozen_baseline_reference,33207,rulebook
intraday_research_v1,jm,jm.MAIN,1d,jm|jm.MAIN|1d,frozen_baseline_reference,33210,rulebook
intraday_research_v1,jm,jm.MAIN,1m,jm|jm.MAIN|1m,frozen_baseline_reference,33205,rulebook
