issue_type,physical_path,data_versions,db_file_ids,record_count,disposition
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=SHFE/symbol=rb/contract=RB2610/RB2610_15m_20260401_20260707.parquet,rq_acb_rb_RB2610_15m_20260401_20260707_v1;rqdata_actual_contract_bars_rb_RB2610_15m_20260401_20260707_v1,33360;34297,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=SHFE/symbol=sn/contract=SN2608/SN2608_15m_20260401_20260707.parquet,rq_acb_sn_SN2608_15m_20260401_20260707_v1;rqdata_actual_contract_bars_sn_SN2608_15m_20260401_20260707_v1,33514;34381,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=SHFE/symbol=zn/contract=ZN2608/ZN2608_15m_20260401_20260707.parquet,rq_acb_zn_ZN2608_15m_20260401_20260707_v1;rqdata_actual_contract_bars_zn_ZN2608_15m_20260401_20260707_v1,33493;34493,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CFFEX/symbol=ic/contract=IC2607/IC2607_1d_20260401_20260707.parquet,rq_acb_ic_IC2607_1d_20260401_20260707_v1;rqdata_actual_contract_bars_ic_IC2607_1d_20260401_20260707_v1,33722;34062,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CFFEX/symbol=if/contract=IF2607/IF2607_1d_20260401_20260707.parquet,rq_acb_if_IF2607_1d_20260401_20260707_v1;rqdata_actual_contract_bars_if_IF2607_1d_20260401_20260707_v1,33729;34069,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CFFEX/symbol=ih/contract=IH2607/IH2607_1d_20260401_20260707.parquet,rq_acb_ih_IH2607_1d_20260401_20260707_v1;rqdata_actual_contract_bars_ih_IH2607_1d_20260401_20260707_v1,33736;34076,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CFFEX/symbol=im/contract=IM2607/IM2607_1d_20260401_20260707.parquet,rq_acb_im_IM2607_1d_20260401_20260707_v1;rqdata_actual_contract_bars_im_IM2607_1d_20260401_20260707_v1,33743;34083,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CZCE/symbol=ap/contract=AP2610/AP2610_1d_20260401_20260707.parquet,rq_acb_ap_AP2610_1d_20260401_20260707_v1;rqdata_actual_contract_bars_ap_AP2610_1d_20260401_20260707_v1,33624;33908,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CZCE/symbol=cf/contract=CF2609/CF2609_1d_20260401_20260707.parquet,rq_acb_cf_CF2609_1d_20260401_20260707_v1;rqdata_actual_contract_bars_cf_CF2609_1d_20260401_20260707_v1,33673;33971,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CZCE/symbol=cj/contract=CJ2609/CJ2609_1d_20260401_20260707.parquet,rq_acb_cj_CJ2609_1d_20260401_20260707_v1;rqdata_actual_contract_bars_cj_CJ2609_1d_20260401_20260707_v1,33680;33978,3,duplicate_version_requires_review
