product,contract_type,contract_role,symbol_or_contract,period,expected_start,expected_end,actual_min,actual_max,status,gap_start,gap_end,quality_status,file_path,recommended_action,segment_contract,segment_start,segment_end
pb,main,dominant_main,pb.MAIN,1m,2011-03-24,2026-07-10,2011-03-24,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=pb/contract=pb.MAIN/pb_MAIN_1m_20110324_20260711_v2.parquet,none,,,
pd,main,dominant_main,pd.MAIN,1m,2025-11-27,2026-07-10,2025-11-27,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=GFEX/symbol=pd/contract=pd.MAIN/pd_MAIN_1m_20230103_20260712_v2.parquet,none,,,
pf,main,dominant_main,pf.MAIN,1m,2020-10-12,2026-07-10,2020-10-12,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CZCE/symbol=pf/contract=pf.MAIN/pf_MAIN_1m_20201012_20260711_v2.parquet,none,,,
pg,main,dominant_main,pg.MAIN,1m,2020-03-30,2026-07-10,2020-03-30,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=pg/contract=pg.MAIN/pg_MAIN_1m_20200330_20260711_v2.parquet,none,,,
pk,main,dominant_main,pk.MAIN,1m,2021-02-01,2026-07-10,2021-02-01,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CZCE/symbol=pk/contract=pk.MAIN/pk_MAIN_1m_20210201_20260711_v2.parquet,none,,,
pl,main,dominant_main,pl.MAIN,1m,2025-07-22,2026-07-10,2025-07-22,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CZCE/symbol=pl/contract=pl.MAIN/pl_MAIN_1m_20230103_20260712_v2.parquet,none,,,
pm,main,dominant_main,pm.MAIN,1m,2012-01-17,2026-07-10,2012-01-17,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CZCE/symbol=pm/contract=pm.MAIN/pm_MAIN_1m_20120117_20260711_v2.parquet,none,,,
pp,main,dominant_main,pp.MAIN,1m,2014-02-28,2026-07-10,2014-02-28,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=pp/contract=pp.MAIN/pp_MAIN_1m_20140228_20260711_v2.parquet,none,,,
pp_f,main,dominant_main,pp_f.MAIN,1m,2025-10-29,2026-07-10,2025-10-29,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=pp_f/contract=pp_f.MAIN/pp_f_MAIN_1m_20230103_20260712_v2.parquet,none,,,
pr,main,dominant_main,pr.MAIN,1m,2024-08-30,2026-07-10,2024-08-30,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CZCE/symbol=pr/contract=pr.MAIN/pr_MAIN_1m_20230103_20260712_v2.parquet,none,,,
ps,main,dominant_main,ps.MAIN,1m,2024-12-26,2026-07-10,2024-12-26,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=GFEX/symbol=ps/contract=ps.MAIN/ps_MAIN_1m_20230103_20260712_v2.parquet,none,,,
pt,main,dominant_main,pt.MAIN,1m,2025-11-27,2026-07-10,2025-11-27,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=GFEX/symbol=pt/contract=pt.MAIN/pt_MAIN_1m_20230103_20260712_v2.parquet,none,,,
px,main,dominant_main,px.MAIN,1m,2023-09-15,2026-07-10,2023-09-15,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CZCE/symbol=px/contract=px.MAIN/px_MAIN_1m_20230103_20260712_v2.parquet,none,,,
rb,main,dominant_main,rb.MAIN,1m,2009-03-27,2026-07-10,2010-01-04,2026-07-10,partial_start,2009-03-27,2010-01-03,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=rb/contract=rb.MAIN/rb_MAIN_1m_20090327_20260711_v2.parquet,minute_pre2020_backfill,,,
ri,main,dominant_main,ri.MAIN,1m,2012-07-24,2026-07-10,2012-07-24,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CZCE/symbol=ri/contract=ri.MAIN/ri_MAIN_1m_20120724_20260711_v2.parquet,none,,,
rm,main,dominant_main,rm.MAIN,1m,2012-12-28,2026-07-10,2012-12-28,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CZCE/symbol=rm/contract=rm.MAIN/rm_MAIN_1m_20121228_20260711_v2.parquet,none,,,
rr,main,dominant_main,rr.MAIN,1m,2019-08-16,2026-07-10,2019-08-16,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=rr/contract=rr.MAIN/rr_MAIN_1m_20190816_20260711_v2.parquet,none,,,
rs,main,dominant_main,rs.MAIN,1m,2012-12-28,2026-07-10,2012-12-28,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CZCE/symbol=rs/contract=rs.MAIN/rs_MAIN_1m_20121228_20260711_v2.parquet,none,,,
