calendar_boundary_status,consumer,contract_role,effective_target_end,materialization_policy,period,product,profile_id,requirement_level,target_end,target_id,target_start
verified,profile_registry,dominant_main,2026-07-10,verify_only,60m,eb,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:eb:60m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,15m,ec,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:ec:15m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1d,ec,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:ec:1d:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1m,ec,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:ec:1m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,30m,ec,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:ec:30m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,5m,ec,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:ec:5m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,60m,ec,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:ec:60m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,15m,eg,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:eg:15m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1d,eg,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:eg:1d:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1m,eg,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:eg:1m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,30m,eg,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:eg:30m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,5m,eg,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:eg:5m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,60m,eg,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:eg:60m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,15m,fb,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:fb:15m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1d,fb,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:fb:1d:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1m,fb,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:fb:1m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,30m,fb,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:fb:30m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,5m,fb,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:fb:5m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,60m,fb,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:fb:60m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,15m,fg,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:fg:15m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1d,fg,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:fg:1d:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1m,fg,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:fg:1m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,30m,fg,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:fg:30m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,5m,fg,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:fg:5m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,60m,fg,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:fg:60m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,15m,fu,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:fu:15m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1d,fu,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:fu:1d:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1m,fu,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:fu:1m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,30m,fu,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:fu:30m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,5m,fu,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:fu:5m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,60m,fu,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:fu:60m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,15m,hc,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:hc:15m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1d,hc,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:hc:1d:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1m,hc,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:hc:1m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,30m,hc,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:hc:30m:source:2026-07-10,
