product,metadata_type,applicability,status,reason,evidence_start,evidence_end,period,residual_scope,recommended_next_task
ih,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2015-04-16,2026-06-24,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
ih,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
ih,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2015-04-16,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
ih,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
im,contract_universe,applicable,unverified,blocked_by_trading_calendar,2022-07-22,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
im,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2022-07-22,2026-06-24,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
im,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
im,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2022-07-22,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
im,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
j,contract_universe,applicable,unverified,blocked_by_trading_calendar,2011-04-15,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
j,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2011-04-15,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
j,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
j,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2011-04-15,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
j,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
jd,contract_universe,applicable,unverified,blocked_by_trading_calendar,2013-11-08,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
jd,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2013-11-08,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
jd,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
jd,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2013-11-08,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
jd,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
jm,contract_universe,applicable,unverified,blocked_by_trading_calendar,2013-03-22,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
jm,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2013-03-22,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
jm,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
jm,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2013-03-22,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
jm,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
jr,contract_universe,applicable,unverified,blocked_by_trading_calendar,2013-11-18,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
jr,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2013-11-18,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
jr,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
jr,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2013-11-18,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
jr,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
l,contract_universe,applicable,unverified,blocked_by_trading_calendar,2010-01-04,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
l,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2007-07-31,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
l,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
l,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2008-01-16,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
l,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
l_f,contract_universe,applicable,unverified,blocked_by_trading_calendar,2025-10-29,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
l_f,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2025-10-29,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
l_f,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
l_f,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2025-10-29,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
l_f,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
lc,contract_universe,applicable,unverified,blocked_by_trading_calendar,2023-07-21,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
lc,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2023-07-21,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
lc,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
lc,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2023-07-21,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
lc,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
lg,contract_universe,applicable,unverified,blocked_by_trading_calendar,2024-11-18,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
lg,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2024-11-18,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
lg,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
lg,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2024-11-18,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
lg,trading_session,applicable,unverified,historical_scope_unverified,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
lh,contract_universe,applicable,unverified,blocked_by_trading_calendar,2021-01-08,2026-07-10,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
lh,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2021-01-08,2026-07-07,not_applicable,downstream_blocked,B2-04A-recheck-after-calendar-closure
lh,trading_calendar,applicable,gap,calendar_boundary_incomplete,,,not_applicable,root,B2-04A-calendar-session-evidence-triage
