datetime,datetime_nano,DCE.i2105.open,DCE.i2105.high,DCE.i2105.low,DCE.i2105.close,DCE.i2105.volume,DCE.i2105.open_oi,DCE.i2105.close_oi
2021-04-09 13:45:00.000000000,1617947100000000000,1119.0,1119.0,1118.0,1119.0,126,175159,175142
2021-04-09 13:46:00.000000000,1617947160000000000,1119.0,1120.5,1119.0,1120.0,89,175142,175123
2021-04-09 13:47:00.000000000,1617947220000000000,1120.0,1120.5,1119.5,1120.5,251,175123,175100
2021-04-09 13:48:00.000000000,1617947280000000000,1120.5,1121.0,1120.0,1120.5,241,175100,175027
2021-04-09 13:49:00.000000000,1617947340000000000,1120.5,1123.0,1120.5,1122.5,430,175027,174988
2021-04-09 13:50:00.000000000,1617947400000000000,1122.5,1124.0,1122.5,1123.5,155,174988,174960
2021-04-09 13:51:00.000000000,1617947460000000000,1123.5,1123.5,1123.0,1123.0,92,174960,174894
2021-04-09 13:52:00.000000000,1617947520000000000,1123.0,1123.5,1123.0,1123.5,63,174894,174917
2021-04-09 13:53:00.000000000,1617947580000000000,1123.5,1124.5,1123.0,1124.5,150,174917,175001
2021-04-09 13:54:00.000000000,1617947640000000000,1124.5,1125.5,1123.0,1123.0,340,175001,175113
2021-04-09 13:55:00.000000000,1617947700000000000,1123.0,1123.5,1123.0,1123.0,57,175113,175086
2021-04-09 13:56:00.000000000,1617947760000000000,1123.0,1123.0,1122.5,1123.0,47,175086,175067
2021-04-09 13:57:00.000000000,1617947820000000000,1123.0,1124.0,1122.5,1124.0,45,175067,175060
2021-04-09 13:58:00.000000000,1617947880000000000,1124.0,1124.5,1123.0,1123.5,76,175060,175049
2021-04-09 13:59:00.000000000,1617947940000000000,1123.5,1123.5,1122.5,1122.5,165,175049,175048
2021-04-09 14:00:00.000000000,1617948000000000000,1122.5,1122.5,1120.5,1121.5,90,175048,175085
2021-04-09 14:01:00.000000000,1617948060000000000,1121.5,1122.5,1121.5,1122.0,61,175085,175088
2021-04-09 14:02:00.000000000,1617948120000000000,1122.0,1122.0,1120.5,1121.0,147,175088,175092
2021-04-09 14:03:00.000000000,1617948180000000000,1121.0,1121.5,1121.0,1121.5,102,175092,175081
2021-04-09 14:04:00.000000000,1617948240000000000,1121.5,1123.5,1121.5,1123.0,77,175081,175061
2021-04-09 14:05:00.000000000,1617948300000000000,1123.0,1123.5,1123.0,1123.0,76,175061,175052
2021-04-09 14:06:00.000000000,1617948360000000000,1123.0,1123.5,1122.0,1122.5,118,175052,175026
2021-04-09 14:07:00.000000000,1617948420000000000,1122.5,1124.5,1122.5,1123.5,100,175026,175023
2021-04-09 14:08:00.000000000,1617948480000000000,1123.5,1125.0,1123.5,1125.0,182,175023,174972
2021-04-09 14:09:00.000000000,1617948540000000000,1125.0,1126.0,1124.0,1124.0,199,174972,174979
2021-04-09 14:10:00.000000000,1617948600000000000,1124.0,1125.0,1124.0,1124.0,162,174979,175016
2021-04-09 14:11:00.000000000,1617948660000000000,1124.0,1124.0,1122.5,1122.5,57,175016,175028
2021-04-09 14:12:00.000000000,1617948720000000000,1122.5,1123.5,1122.5,1123.0,70,175028,174993
2021-04-09 14:13:00.000000000,1617948780000000000,1123.0,1123.0,1122.0,1122.5,19,174993,174989
2021-04-09 14:14:00.000000000,1617948840000000000,1122.5,1123.0,1121.5,1123.0,54,174989,174983
2021-04-09 14:15:00.000000000,1617948900000000000,1123.0,1123.0,1121.5,1121.5,63,174983,174978
2021-04-09 14:16:00.000000000,1617948960000000000,1121.5,1122.5,1121.5,1122.5,109,174978,174995
2021-04-09 14:17:00.000000000,1617949020000000000,1122.5,1122.5,1120.5,1120.5,123,174995,174961
2021-04-09 14:18:00.000000000,1617949080000000000,1120.5,1122.0,1120.5,1122.0,130,174961,174935
2021-04-09 14:19:00.000000000,1617949140000000000,1122.0,1124.0,1122.0,1124.0,104,174935,174894
2021-04-09 14:20:00.000000000,1617949200000000000,1124.0,1125.0,1123.5,1125.0,120,174894,174895
2021-04-09 14:21:00.000000000,1617949260000000000,1125.0,1127.5,1124.5,1126.5,299,174895,174851
2021-04-09 14:22:00.000000000,1617949320000000000,1126.5,1127.5,1125.0,1126.0,363,174851,174731
2021-04-09 14:23:00.000000000,1617949380000000000,1126.0,1126.0,1125.0,1125.5,112,174731,174673
2021-04-09 14:24:00.000000000,1617949440000000000,1125.5,1125.5,1124.0,1124.5,306,174673,174681
2021-04-09 14:25:00.000000000,1617949500000000000,1124.5,1125.0,1123.5,1124.5,83,174681,174671
2021-04-09 14:26:00.000000000,1617949560000000000,1124.5,1125.0,1124.0,1124.0,73,174671,174653
2021-04-09 14:27:00.000000000,1617949620000000000,1124.0,1124.0,1123.5,1124.0,11,174653,174655
2021-04-09 14:28:00.000000000,1617949680000000000,1124.0,1124.0,1123.5,1123.5,37,174655,174633
2021-04-09 14:29:00.000000000,1617949740000000000,1123.5,1123.5,1122.5,1123.0,69,174633,174641
2021-04-09 14:30:00.000000000,1617949800000000000,1123.0,1123.0,1122.5,1122.5,17,174641,174631
2021-04-09 14:31:00.000000000,1617949860000000000,1122.5,1123.5,1122.0,1122.0,125,174631,174569
2021-04-09 14:32:00.000000000,1617949920000000000,1122.0,1123.0,1122.0,1122.5,76,174569,174530
2021-04-09 14:33:00.000000000,1617949980000000000,1122.5,1123.0,1122.5,1122.5,128,174530,174511
2021-04-09 14:34:00.000000000,1617950040000000000,1122.5,1123.5,1122.0,1123.0,151,174511,174486
2021-04-09 14:35:00.000000000,1617950100000000000,1123.0,1123.5,1122.5,1122.5,84,174486,174484
2021-04-09 14:36:00.000000000,1617950160000000000,1122.5,1123.0,1122.0,1122.5,67,174484,174479
2021-04-09 14:37:00.000000000,1617950220000000000,1122.5,1123.0,1122.0,1122.5,134,174479,174367
2021-04-09 14:38:00.000000000,1617950280000000000,1122.5,1122.5,1122.0,1122.5,129,174367,174289
2021-04-09 14:39:00.000000000,1617950340000000000,1122.5,1123.5,1122.0,1123.5,134,174289,174253
2021-04-09 14:40:00.000000000,1617950400000000000,1123.5,1123.5,1122.0,1122.5,53,174253,174235
2021-04-09 14:41:00.000000000,1617950460000000000,1122.5,1124.0,1122.5,1124.0,114,174235,174185
2021-04-09 14:42:00.000000000,1617950520000000000,1124.0,1124.5,1123.5,1124.5,24,174185,174181
2021-04-09 14:43:00.000000000,1617950580000000000,1124.5,1125.5,1124.0,1124.0,81,174181,174180
