product,metadata_type,applicability,status,reason,evidence_start,evidence_end
lc,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
lg,asset_registration,applicable,passed,registered_contract_listing,2024-11-18,2026-07-10
lg,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2024-11-18,2026-07-07
lg,contract_universe,applicable,passed,contract_universe_present,2024-11-18,2026-07-10
lg,main_contract_map,applicable,passed,rank1_mapping_present,2024-11-18,2026-07-07
lg,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
lg,trading_parameter,applicable,passed,trading_parameters_present,2024-11-18,2026-07-10
lg,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
lh,asset_registration,applicable,passed,registered_contract_listing,2021-01-08,2026-07-10
lh,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2021-01-08,2026-07-07
lh,contract_universe,applicable,passed,contract_universe_present,2021-01-08,2026-07-10
lh,main_contract_map,applicable,passed,rank1_mapping_present,2021-01-08,2026-07-07
lh,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
lh,trading_parameter,applicable,passed,trading_parameters_present,2021-01-08,2026-07-10
lh,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
lu,asset_registration,applicable,passed,registered_contract_listing,2020-06-22,2026-07-10
lu,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-06-22,2026-07-07
lu,contract_universe,applicable,passed,contract_universe_present,2020-06-22,2026-07-10
lu,main_contract_map,applicable,passed,rank1_mapping_present,2020-06-22,2026-07-07
lu,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
lu,trading_parameter,applicable,passed,trading_parameters_present,2020-06-22,2026-07-10
lu,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
m,asset_registration,applicable,passed,registered_contract_listing,2000-07-17,2026-07-10
m,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
m,contract_universe,applicable,passed,contract_universe_present,2010-01-04,2026-07-10
m,main_contract_map,applicable,passed,rank1_mapping_present,2005-01-04,2026-07-07
m,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
